title,price,link,store,category,query,brand_or_model,model,suffix
موبايل آبل آيفون 16 بشريحتين (128 جيجابايت) - أسود,52333,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D8%B4%D8%B1%D9%8A%D8%AD%D8%AA%D9%8A%D9%86-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJCJT48/ref=sr_1_26,Amazon,mobiles,apple,ايفون,16,
"ابل موبايل ايفون 15 برو ماكس (256 جيجابايت) - تيتانيوم ازرق مع خاصية التعرف على الوجه، (ضمان لمدة عامين)",70950,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%85%D8%A7%D9%83%D8%B3-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0CHXK8YL4/ref=sr_1_28,Amazon,mobiles,apple,ايفون,15,برو
"جوال سامسونج جالكسي ايه 16 ال تي اي، ثنائي شرائح الاتصال، ذاكرة رام 6 جيجا، تخزين 128 جيجا، اسود (ضمان محلي لمدة عام)",7839.99,https://www.amazon.eg/%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%AC%D8%A7%D9%84%D9%83%D8%B3%D9%8A-%D8%AB%D9%86%D8%A7%D8%A6%D9%8A-%D8%B4%D8%B1%D8%A7%D8%A6%D8%AD-%D8%A7%D9%84%D8%A7%D8%AA%D8%B5%D8%A7%D9%84%D8%8C/dp/B0DMFBQL5M/ref=sr_1_3,Amazon,mobiles,samsung,سامسونج,A16,
"موبايل سامسونج جالاكسي A05s، هاتف ذكي يعمل بنظام اندرويد، بشريحتين اتصال، ذاكرة RAM سعة 6 جيحا، - تخزين 128 جيجا، أسود - ضمان لمدة عام/إصدار محلي",5890,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%AC%D8%A7%D9%84%D8%A7%D9%83%D8%B3%D9%8A-%D8%A7%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF%D8%8C-%D8%A8%D8%B4%D8%B1%D9%8A%D8%AD%D8%AA%D9%8A%D9%86/dp/B0CP45ZGRK/ref=sr_1_6,Amazon,mobiles,samsung,سامسونج,A05S,
"موبايل سامسونج جالاكسي M55 شبكة الجيل الخامس 5G يعمل بنظام أندرويد بشريحتي اتصال وذاكرة رام 8 جيجابايت وسعة تخزينية 128 جيجابايت، لون أسود، ضمان لمدة عام/إصدار محلي",13999,https://www.amazon.eg/%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%AC%D8%A7%D9%84%D8%A7%D9%83%D8%B3%D9%8A-%D8%A3%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA%D8%8C/dp/B0DNMMSRT2/ref=sr_1_9,Amazon,mobiles,samsung,سامسونج,M55,
"موبايل سامسونج جالاكسي A16 LTE، موبايل يعمل بنظام أندرويد بشريحتين اتصال وذاكرة رام 6 جيجا، السعة التخزينية 128 جيجا، لون رمادي",8080,https://www.amazon.eg/%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%AC%D8%A7%D9%84%D8%A7%D9%83%D8%B3%D9%8A-%D8%A3%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF-%D8%A8%D8%B4%D8%B1%D9%8A%D8%AD%D8%AA%D9%8A%D9%86-%D8%A7%D9%84%D8%AA%D8%AE%D8%B2%D9%8A%D9%86%D9%8A%D8%A9/dp/B0DMF3ZYBQ/ref=sr_1_11,Amazon,mobiles,samsung,سامسونج,A16,
"موبايل سامسونج جالاكسي ايه 55 الجيل الخامس 5G، ثنائي شرائح الاتصال، ذاكرة رام 8 جيجا، تخزين 128 جيجا، كحلي رائع - ضمان لمدة عام / اصدار محلي",19999,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%AC%D8%A7%D9%84%D8%A7%D9%83%D8%B3%D9%8A-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-%D8%A7%D9%84%D8%A7%D8%AA%D8%B5%D8%A7%D9%84%D8%8C/dp/B0CX95PRMC/ref=sr_1_12,Amazon,mobiles,samsung,سامسونج,A55,
سامسونج جوال جالكسي ايه 16 ال تي اي هاتف ذكي يعمل بنظام اندرويد ثنائي شرائح الاتصال ذاكرة رام 6 جيجا تخزين 128 اخضر فاتح ضمان محلي لمدة عام,7824.99,https://www.amazon.eg/%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%AC%D8%A7%D9%84%D9%83%D8%B3%D9%8A-%D8%A8%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF-%D8%A7%D9%84%D8%A7%D8%AA%D8%B5%D8%A7%D9%84/dp/B0DMF6PP81/ref=sr_1_13,Amazon,mobiles,samsung,سامسونج,A16,
سامسونج جوال جالكسي ايه 16 ال تي اي هاتف ذكي يعمل بنظام اندرويد ثنائي شرائح الاتصال ذاكرة رام 4 جيجا تخزين 128 اسود ضمان محلي لمدة عام,7009,https://www.amazon.eg/%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%AC%D8%A7%D9%84%D9%83%D8%B3%D9%8A-%D8%A8%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF-%D8%A7%D9%84%D8%A7%D8%AA%D8%B5%D8%A7%D9%84/dp/B0DM1S54MZ/ref=sr_1_15,Amazon,mobiles,samsung,سامسونج,A16,
"موبايل سامسونج جالاكسي S23 اف اي شبكة الجيل الخامس 5G بشريحتي اتصال، يعمل بنظام أندرويد، مع ذاكرة رام 8 جيجابايت و ذاكرة ROM بسعة 256 جيجابايت - لون أخضر مينت",28888,https://www.amazon.eg/%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%AC%D8%A7%D9%84%D8%A7%D9%83%D8%B3%D9%8A-%D8%A8%D8%B4%D8%B1%D9%8A%D8%AD%D8%AA%D9%8A-%D8%A3%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF%D8%8C-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0CJXPXVGZ/ref=sr_1_16,Amazon,mobiles,samsung,سامسونج,S23,
